Time (ms) - X (V);Amplitude - X (V);Time (ms) - Y (V);Amplitude - Y (V);Time (ms) - Z (V);Amplitude - Z (V);Time (ms) - LED (V);Amplitude - LED (V);Time (ms) - Camera;Amplitude - Camera;Time (ms) - UV;Amplitude - UV
39;5;39;5;39;0;39;0;39;1;39;0
39;5;39;5;39;0;39;0;39;1;39;0
39;5;39;5;39;0;39;0;39;1;39;0
39;5;39;5;39;0;39;0;39;1;39;0
39;5;39;5;39;0;39;0;39;1;39;0
39;5;39;5;39;0;39;0;39;1;39;0
40;5;40;5;40;0;40;0;40;1;40;0
40;5;40;5;40;0;40;0;40;1;40;0
40;5;40;5;40;0;40;0;40;1;40;0
40;5;40;5;40;0;40;0;40;1;40;0
40;5;40;5;40;0;40;0;40;1;40;0
40;5;40;5;40;0;40;0;40;1;40;0
40;5;40;5;40;0;40;5;40;1;40;0
40;5;40;5;40;0;40;5;40;1;40;0
40;5;40;5;40;0;40;5;40;1;40;0
40;5;40;5;40;0;40;5;40;1;40;0
40;5;40;5;40;0;40;0;40;1;40;0
41;5;41;5;41;0;41;0;41;1;41;0
41;5;41;5;41;0;41;0;41;1;41;0
41;5;41;5;41;0;41;0;41;1;41;0
41;5;41;5;41;0;41;0;41;1;41;0
41;5;41;5;41;0;41;0;41;1;41;0
41;5;41;5;41;0;41;0;41;1;41;0
41;5;41;5;41;0;41;0;41;1;41;0
41;5;41;5;41;0;41;0;41;1;41;0
41;5;41;5;41;0;41;0;41;1;41;0
42;5;42;5;42;0;42;0;42;1;42;0
42;5;42;5;42;0;42;0;42;1;42;0
42;5;42;5;42;0;42;0;42;1;42;0
42;5;42;5;42;0;42;0;42;1;42;0
42;5;42;5;42;0;42;0;42;1;42;0
42;5;42;5;42;0;42;0;42;1;42;0
42;5;42;5;42;0;42;5;42;1;42;0
42;5;42;5;42;0;42;5;42;1;42;0
42;5;42;5;42;0;42;5;42;1;42;0
42;5;42;5;42;0;42;5;42;1;42;0
42;5;42;5;42;0;42;0;42;1;42;0
43;5;43;5;43;0;43;0;43;1;43;0
43;5;43;5;43;0;43;0;43;1;43;0
43;5;43;5;43;0;43;0;43;1;43;0
43;5;43;5;43;0;43;0;43;1;43;0
43;5;43;5;43;0;43;0;43;1;43;0
43;5;43;5;43;0;43;0;43;1;43;0
43;5;43;5;43;0;43;0;43;1;43;0
43;5;43;5;43;0;43;0;43;1;43;0
43;5;43;5;43;0;43;0;43;1;43;0
44;5;44;5;44;0;44;0;44;1;44;0
44;5;44;5;44;0;44;0;44;1;44;0
44;5;44;5;44;0;44;0;44;1;44;0
44;5;44;5;44;0;44;0;44;1;44;0
44;5;44;5;44;0;44;0;44;1;44;0
44;5;44;5;44;0;44;0;44;1;44;0
44;5;44;5;44;0;44;5;44;1;44;0
44;5;44;5;44;0;44;5;44;1;44;0
44;5;44;5;44;0;44;5;44;1;44;0
44;5;44;5;44;0;44;5;44;1;44;0
44;5;44;5;44;0;44;0;44;1;44;0
45;5;45;5;45;0;45;0;45;1;45;0
45;5;45;5;45;0;45;0;45;1;45;0
45;5;45;5;45;0;45;0;45;1;45;0
45;5;45;5;45;0;45;0;45;1;45;0
45;5;45;5;45;0;45;0;45;1;45;0
45;5;45;5;45;0;45;0;45;1;45;0
45;5;45;5;45;0;45;0;45;1;45;0
45;5;45;5;45;0;45;0;45;1;45;0
45;5;45;5;45;0;45;0;45;1;45;0
46;5;46;5;46;0;46;0;46;1;46;0
46;5;46;5;46;0;46;0;46;1;46;0
46;5;46;5;46;0;46;0;46;1;46;0
46;5;46;5;46;0;46;0;46;1;46;0
46;5;46;5;46;0;46;0;46;1;46;0
46;5;46;5;46;0;46;0;46;1;46;0
46;5;46;5;46;0;46;5;46;1;46;0
46;5;46;5;46;0;46;5;46;1;46;0
46;5;46;5;46;0;46;5;46;1;46;0
46;5;46;5;46;0;46;5;46;1;46;0
46;5;46;5;46;0;46;0;46;1;46;0
47;5;47;5;47;0;47;0;47;1;47;0
47;5;47;5;47;0;47;0;47;1;47;0
47;5;47;5;47;0;47;0;47;1;47;0
47;5;47;5;47;0;47;0;47;1;47;0
47;5;47;5;47;0;47;0;47;1;47;0
47;5;47;5;47;0;47;0;47;1;47;0
47;5;47;5;47;0;47;0;47;1;47;0
47;5;47;5;47;0;47;0;47;1;47;0
47;5;47;5;47;0;47;0;47;1;47;0
48;5;48;5;48;0;48;0;48;1;48;0
48;5;48;5;48;0;48;0;48;1;48;0
48;5;48;5;48;0;48;0;48;1;48;0
48;5;48;5;48;0;48;0;48;1;48;0
48;5;48;5;48;0;48;0;48;1;48;0
48;5;48;5;48;0;48;0;48;1;48;0
48;5;48;5;48;0;48;5;48;1;48;0
48;5;48;5;48;0;48;5;48;1;48;0
48;5;48;5;48;0;48;5;48;1;48;0
48;5;48;5;48;0;48;5;48;1;48;0
48;5;48;5;48;0;48;0;48;1;48;0
49;5;49;5;49;0;49;0;49;1;49;0
49;5;49;5;49;0;49;0;49;1;49;0
49;5;49;5;49;0;49;0;49;1;49;0
49;5;49;5;49;0;49;0;49;1;49;0
49;5;49;5;49;0;49;0;49;1;49;0
49;5;49;5;49;0;49;0;49;1;49;0
49;5;49;5;49;0;49;0;49;1;49;0
49;5;49;5;49;0;49;0;49;1;49;0
49;5;49;5;49;0;49;0;49;1;49;0
50;5;50;5;50;0;50;0;50;1;50;0
50;5;50;5;50;0;50;0;50;1;50;0
50;5;50;5;50;0;50;0;50;1;50;0
50;5;50;5;50;0;50;0;50;1;50;0
50;5;50;5;50;0;50;0;50;1;50;0
50;5;50;5;50;0;50;0;50;1;50;0
50;5;50;5;50;0;50;5;50;1;50;0
50;5;50;5;50;0;50;5;50;1;50;0
50;5;50;5;50;0;50;5;50;1;50;0
50;5;50;5;50;0;50;5;50;1;50;0
50;5;50;5;50;0;50;0;50;1;50;0
51;5;51;5;51;0;51;0;51;1;51;0
51;5;51;5;51;0;51;0;51;1;51;0
51;5;51;5;51;0;51;0;51;1;51;0
51;5;51;5;51;0;51;0;51;1;51;0
51;5;51;5;51;0;51;0;51;1;51;0
51;5;51;5;51;0;51;0;51;1;51;0
51;5;51;5;51;0;51;0;51;1;51;0
51;5;51;5;51;0;51;0;51;1;51;0
51;5;51;5;51;0;51;0;51;1;51;0
52;5;52;5;52;0;52;0;52;1;52;0
52;5;52;5;52;0;52;0;52;1;52;0
52;5;52;5;52;0;52;0;52;1;52;0
52;5;52;5;52;0;52;0;52;1;52;0
52;5;52;5;52;0;52;0;52;1;52;0
52;5;52;5;52;0;52;0;52;1;52;0
52;5;52;5;52;0;52;5;52;1;52;0
52;5;52;5;52;0;52;5;52;1;52;0
52;5;52;5;52;0;52;5;52;1;52;0
52;5;52;5;52;0;52;5;52;1;52;0
52;5;52;5;52;0;52;0;52;1;52;0
53;5;53;5;53;0;53;0;53;1;53;0
53;5;53;5;53;0;53;0;53;1;53;0
53;5;53;5;53;0;53;0;53;1;53;0
53;5;53;5;53;0;53;0;53;1;53;0
53;5;53;5;53;0;53;0;53;1;53;0
53;5;53;5;53;0;53;0;53;1;53;0
53;5;53;5;53;0;53;0;53;1;53;0
53;5;53;5;53;0;53;0;53;1;53;0
53;5;53;5;53;0;53;0;53;1;53;0
54;5;54;5;54;0;54;0;54;1;54;0
54;5;54;5;54;0;54;0;54;1;54;0
54;5;54;5;54;0;54;0;54;1;54;0
54;5;54;5;54;0;54;0;54;1;54;0
54;5;54;5;54;0;54;0;54;1;54;0
54;5;54;5;54;0;54;0;54;1;54;0
54;5;54;5;54;0;54;5;54;1;54;0
54;5;54;5;54;0;54;5;54;1;54;0
